CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Avg_Utilization_Ratio,Pay_on_time,Random_numbers
711256908,no,39,male,2,secondary,single,51 – 70k,blue,28,10331.00,0.093,no,0.748635066131507
711258108,no,54,male,1,third level,married/living with partner,111k+,blue,44,2821.00,0.856,no,0.77471164026088
711264033,no,47,male,3,third level,divorced,31 – 50k,blue,36,4786.00,0.317,no,0.176570016062559
711267633,yes,50,female,3,third level,divorced,<30k,blue,40,4248.00,0.074,no,0.753108865603401
711274458,yes,38,female,3,secondary,married/living with partner,<30k,blue,27,1438.30,0.000,yes,0.622475574440817
711276933,no,56,female,3,third level,married/living with partner,<30k,blue,44,2030.00,0.622,no,0.994134587647775
711283008,no,50,male,1,secondary,single,71 – 110k,gold,36,34516.00,0.000,yes,0.645211831583063
711286533,no,43,male,3,third level,#NULL!,51 – 70k,blue,31,13448.00,0.000,yes,0.874326231408806
711288558,no,45,female,3,third level,single,<30k,blue,28,2035.00,0.577,no,0.49439456424306
711289533,no,39,male,4,third level,single,71 – 110k,blue,32,26710.00,0.063,no,0.202395399363019
711291558,no,27,male,0,primary,single,51 – 70k,blue,36,2464.00,0.000,yes,0.606850495942926
711294258,no,43,female,1,third level,single,<30k,blue,38,2642.00,0.900,no,0.190209716718764
711296508,no,49,female,3,third level,single,<30k,blue,42,2608.00,0.941,no,0.647397844110099
711297483,no,47,female,2,primary,divorced,<30k,gold,34,13878.00,0.160,no,0.486168347739153
711302883,no,50,female,0,third level,single,<30k,blue,46,2165.00,0.643,no,0.69435181665115
711310908,no,53,female,4,third level,married/living with partner,<30k,blue,36,2972.00,0.727,no,0.693723453519194
711311883,no,48,female,2,third level,married/living with partner,<30k,gold,35,13994.00,0.000,yes,0.557514566251452
711314058,no,49,male,2,third level,married/living with partner,51 – 70k,blue,32,1687.00,0.656,no,0.514118693307017
711315783,no,53,male,3,third level,married/living with partner,31 – 50k,blue,43,7451.00,0.092,no,0.583861048951037
711318033,no,47,male,3,third level,single,51 – 70k,blue,36,2926.00,0.000,yes,0.520701825229769
711320508,no,57,male,4,third level,married/living with partner,71 – 110k,blue,49,3038.00,0.464,no,0.809509294320432
711323283,yes,57,male,2,primary,married/living with partner,51 – 70k,blue,41,2527.00,0.408,no,0.0388010450809817
711326583,no,62,female,0,secondary,single,<30k,blue,50,3989.00,0.000,yes,0.142838832019506
711327558,no,38,male,2,secondary,married/living with partner,31 – 50k,blue,36,2801.00,0.707,no,0.462091947079713
711328458,no,58,male,1,secondary,married/living with partner,71 – 110k,blue,50,34516.00,0.039,no,0.447632186329711
711329658,no,30,male,0,secondary,married/living with partner,111k+,blue,13,9007.00,0.218,no,0.0422247881689434
711330408,no,35,female,2,third level,married/living with partner,31 – 50k,blue,24,2939.00,0.635,no,0.694007765562607
711332883,yes,62,male,1,secondary,single,51 – 70k,blue,46,7547.00,0.328,no,0.365653325188066
711333933,no,56,female,3,third level,single,31 – 50k,blue,36,3005.00,0.552,no,0.723408357143035
711337158,no,56,male,2,third level,married/living with partner,31 – 50k,blue,49,3059.00,0.780,no,0.53353421653125
711339258,no,49,female,3,third level,single,31 – 50k,gold,36,20176.00,0.110,no,0.58070133936956
711342483,no,50,male,1,third level,married/living with partner,71 – 110k,blue,36,2418.00,0.711,no,0.905763770083968
711343233,no,53,female,3,primary,married/living with partner,<30k,blue,36,1438.30,0.822,no,0.648918764810629
711345258,no,52,female,2,secondary,married/living with partner,31 – 50k,blue,44,5731.00,0.000,yes,0.752577619467771
711346383,no,33,male,1,secondary,single,71 – 110k,blue,28,34516.00,0.000,yes,0.284384051985677
711348033,no,50,male,2,third level,married/living with partner,31 – 50k,blue,40,5435.00,0.229,no,0.823074676288601
711349083,no,47,female,4,third level,married/living with partner,<30k,blue,28,4012.00,0.000,yes,0.0186764319841717
711350133,no,51,male,2,third level,married/living with partner,71 – 110k,blue,34,13587.00,0.175,no,0.715382214928471
711357858,yes,47,female,3,third level,single,<30k,blue,36,7246.00,0.000,yes,0.974411000748213
711359058,no,46,female,4,secondary,single,<30k,blue,33,3942.00,0.434,no,0.0185171668006676
711360783,no,39,female,0,third level,single,<30k,blue,36,4366.00,0.428,no,0.295532297221698
711367308,no,37,male,3,primary,single,31 – 50k,blue,19,2186.00,0.542,no,0.602394958520191
711370458,no,49,female,5,third level,married/living with partner,<30k,blue,38,15016.00,0.134,no,0.645810038215478
711372258,no,59,male,1,third level,single,31 – 50k,blue,51,5042.00,0.199,no,0.37712577970099
711374283,no,47,male,3,secondary,single,71 – 110k,blue,42,24480.00,0.079,no,0.887309551567611
711375558,no,48,female,2,primary,single,31 – 50k,blue,34,3072.00,0.564,no,0.698209108984144
711377808,no,47,male,3,third level,#NULL!,51 – 70k,blue,36,21142.00,0.000,yes,0.671321650737103
711379083,no,60,female,0,third level,single,<30k,blue,42,2758.00,0.518,no,0.814570596760532
711382458,yes,43,male,5,third level,married/living with partner,51 – 70k,blue,38,1438.30,0.000,yes,0.631822673431097
711388458,no,45,male,3,secondary,married/living with partner,51 – 70k,blue,36,17072.00,0.089,no,0.423599370362423
711389358,yes,42,male,3,third level,married/living with partner,31 – 50k,blue,23,5791.00,0.435,no,0.369588603684586
711390333,yes,59,male,0,third level,married/living with partner,71 – 110k,blue,46,6526.00,0.075,no,0.816110604539299
711391308,no,46,female,4,primary,married/living with partner,31 – 50k,blue,34,2168.00,0.786,no,0.795132838613472
711392508,no,37,female,2,third level,married/living with partner,<30k,blue,25,1438.30,0.000,yes,0.286397137723104
711396483,no,40,male,2,third level,single,31 – 50k,blue,36,6033.00,0.000,yes,0.573639611148973
711397533,no,52,female,2,secondary,married/living with partner,<30k,blue,41,5616.00,0.429,no,0.369163678564884
711398433,no,38,male,0,secondary,married/living with partner,51 – 70k,blue,31,16565.00,0.072,no,0.598868206858534
711402333,no,47,male,2,third level,single,<30k,blue,37,3235.00,0.246,no,0.823554151154789
711403383,no,33,female,3,third level,single,<30k,blue,23,2562.00,0.768,no,0.167915579888809
711405333,no,52,male,3,third level,married/living with partner,71 – 110k,blue,43,6849.00,0.310,no,0.420768649585387
711406758,no,48,female,3,third level,married/living with partner,<30k,blue,36,1667.00,0.000,yes,0.583269086084373
711409833,no,45,female,5,primary,married/living with partner,<30k,blue,33,1830.00,0.355,no,0.872624276099861
711410958,no,40,male,3,secondary,married/living with partner,51 – 70k,blue,28,13452.00,0.187,no,0.758259126192523
711412533,yes,40,female,3,secondary,single,<30k,blue,35,5492.00,0.286,no,0.611601940855704
711419133,no,56,male,4,third level,single,<30k,blue,36,3057.00,0.352,no,0.955743533452102
711421233,no,51,male,3,secondary,single,51 – 70k,blue,43,7119.00,0.213,no,0.906383618438119
711422358,no,42,male,5,third level,#NULL!,31 – 50k,blue,36,10531.00,0.221,no,0.330988491728931
711423558,no,60,female,1,third level,single,31 – 50k,blue,50,4606.00,0.000,yes,0.400344336219059
711426033,no,49,male,2,third level,married/living with partner,71 – 110k,blue,39,11332.00,0.083,no,0.351971000541526
711428733,no,50,female,3,third level,divorced,31 – 50k,blue,39,3028.00,0.442,no,0.0698926257867829
711430908,yes,45,female,4,third level,married/living with partner,<30k,blue,34,1438.30,0.000,yes,0.749730859865281
711432258,yes,55,male,3,third level,single,51 – 70k,blue,46,4178.00,0.000,yes,0.80573611767359
711433908,yes,41,female,3,primary,married/living with partner,<30k,blue,30,9491.00,0.000,yes,0.325825374451917
711436083,no,36,male,1,third level,married/living with partner,<30k,blue,18,2032.00,0.494,no,0.0540600555761692
711438033,no,57,female,1,third level,married/living with partner,<30k,blue,45,1894.00,0.000,yes,0.87485834306354
711441333,no,43,female,1,secondary,divorced,<30k,gold,35,10514.00,0.150,no,0.571171807619918
711445233,no,42,female,5,primary,single,<30k,blue,36,1438.30,0.000,yes,0.540262597584377
711447783,no,53,female,2,third level,single,<30k,blue,38,2375.00,0.570,no,0.33612784463933
711448983,yes,47,female,2,third level,married/living with partner,<30k,blue,34,2234.00,0.906,no,0.609991148585996
711455133,no,55,male,3,third level,single,111k+,blue,36,12948.00,0.142,no,0.790061722899792
711458583,no,47,male,2,third level,married/living with partner,51 – 70k,gold,35,34516.00,0.039,no,0.521720038051009
711460458,yes,44,male,1,primary,married/living with partner,31 – 50k,blue,34,10973.00,0.000,yes,0.06219806426913
711461658,no,47,male,1,secondary,married/living with partner,31 – 50k,blue,29,3291.00,0.364,no,0.944949895570548
711465333,no,35,male,4,secondary,single,71 – 110k,blue,26,24250.00,0.000,yes,0.938888732994428
711466533,no,43,female,2,third level,married/living with partner,<30k,blue,33,3933.00,0.217,no,0.978141791309701
711468708,yes,38,female,4,secondary,single,31 – 50k,blue,31,1438.30,0.000,yes,0.30747798755322
711473058,no,44,male,4,third level,divorced,51 – 70k,blue,32,11651.00,0.117,no,0.217995333327981
711474333,yes,57,female,2,primary,single,<30k,blue,51,1614.00,0.000,yes,0.338583805243158
711478233,no,38,female,1,third level,single,<30k,blue,26,2652.00,0.941,no,0.871192001878856
711480108,no,37,male,4,secondary,married/living with partner,51 – 70k,blue,24,5335.00,0.402,no,0.247591084322376
711481533,no,39,male,1,secondary,divorced,51 – 70k,blue,33,5926.00,0.211,no,0.824545947095446
711491283,no,44,female,3,third level,married/living with partner,<30k,blue,36,1975.00,0.640,no,0.943626632138909
711492258,no,50,male,2,third level,married/living with partner,51 – 70k,blue,45,2021.00,0.781,no,0.345371090724258
711493158,no,52,male,3,third level,single,51 – 70k,blue,36,2801.00,0.881,no,0.658219747208829
711498258,no,54,male,3,secondary,married/living with partner,111k+,blue,42,20311.00,0.081,no,0.366162144436439
711499158,no,47,male,2,primary,married/living with partner,71 – 110k,gold,38,34516.00,0.021,no,0.882371711855038
711502908,no,44,male,3,third level,single,51 – 70k,blue,39,7532.00,0.000,yes,0.55666838823193
711505308,no,59,female,1,third level,single,<30k,blue,52,2636.00,0.614,no,0.564694012203975
711507783,yes,54,female,2,third level,single,<30k,blue,42,1694.00,0.000,yes,0.840302228618922
711509658,yes,61,male,2,third level,married/living with partner,111k+,blue,49,11374.00,0.221,no,0.699905400854685
711516783,no,47,female,4,primary,married/living with partner,31 – 50k,blue,36,2155.00,0.519,no,0.705760458650098
711523533,no,43,male,5,third level,single,51 – 70k,blue,31,17230.00,0.105,no,0.775583446960786
711525033,no,66,female,0,secondary,married/living with partner,<30k,blue,54,3171.00,0.687,no,0.062923560480989
711526533,no,33,male,3,third level,married/living with partner,71 – 110k,blue,25,16434.00,0.128,no,0.520305118419988
711527508,yes,46,female,3,secondary,married/living with partner,31 – 50k,blue,34,8583.00,0.000,yes,0.663998020281142
711529383,no,47,female,3,third level,married/living with partner,31 – 50k,blue,41,6602.00,0.185,no,0.271490866918407
711533058,no,42,female,2,third level,single,31 – 50k,blue,29,3347.00,0.669,no,0.835443253941134
711534183,no,41,male,2,secondary,single,71 – 110k,blue,36,28830.00,0.000,yes,0.0667830054903623
711538758,yes,39,male,5,third level,single,51 – 70k,blue,36,24657.00,0.026,no,0.176313485168405
711542358,no,42,female,4,secondary,married/living with partner,<30k,blue,36,15987.00,0.074,no,0.713862035416783
711546333,no,46,male,3,primary,married/living with partner,<30k,blue,38,7958.00,0.196,no,0.736311147556321
711549408,no,51,male,3,primary,married/living with partner,71 – 110k,blue,42,1507.00,0.638,no,0.758400122121466
711550983,no,46,male,1,third level,divorced,31 – 50k,blue,37,11343.00,0.104,no,0.307347444145262
711551958,yes,59,male,2,third level,married/living with partner,51 – 70k,blue,46,1438.30,0.000,yes,0.223083587876652
711553308,no,60,male,1,third level,single,31 – 50k,blue,48,1438.30,0.521,no,0.653629466611434
711557508,no,51,male,2,third level,single,51 – 70k,blue,40,3532.00,0.216,no,0.79674447132668
711559008,no,40,female,4,third level,single,31 – 50k,blue,28,11642.00,0.129,no,0.571244723532505
711560058,no,49,male,1,secondary,married/living with partner,51 – 70k,blue,36,2465.00,0.541,no,0.662514090962924
711561108,no,36,male,4,third level,single,71 – 110k,blue,24,16335.00,0.055,no,0.927552773549947
711561933,no,57,female,1,primary,divorced,<30k,blue,47,2201.00,0.645,no,0.318689015039564
711562833,yes,35,male,4,third level,married/living with partner,71 – 110k,blue,24,12634.00,0.000,yes,0.0979657377616625
711566208,no,58,female,3,third level,married/living with partner,<30k,blue,36,5023.00,0.370,no,0.613887915806
711567333,no,43,male,1,secondary,single,51 – 70k,blue,31,2834.00,0.607,no,0.935938351972288
711569433,no,51,female,2,primary,divorced,<30k,blue,38,9648.00,0.200,no,0.432061191305509
711574008,no,32,male,3,third level,single,71 – 110k,blue,21,21390.00,0.000,yes,0.726365254246581
711577458,no,52,female,1,primary,single,<30k,blue,36,3244.00,0.572,no,0.0673439500329354
711578658,no,56,female,2,secondary,married/living with partner,31 – 50k,blue,49,6380.00,0.395,no,0.335071169717129
711583458,no,48,female,2,third level,married/living with partner,<30k,blue,36,1438.30,0.000,yes,0.00345208195966573
711588708,yes,50,female,2,primary,married/living with partner,31 – 50k,blue,36,1438.30,0.318,no,0.446265413468858
711589758,no,42,male,5,secondary,married/living with partner,51 – 70k,blue,32,4162.00,0.394,no,0.799149750141506
711593808,yes,55,male,1,secondary,married/living with partner,51 – 70k,blue,46,1438.30,0.000,yes,0.261075951806189
711595833,no,46,male,3,third level,married/living with partner,51 – 70k,blue,36,9981.00,0.081,no,0.451507919084984
711597183,no,43,male,2,primary,divorced,71 – 110k,blue,34,1452.00,0.000,yes,0.280861847974931
711598533,no,43,male,1,secondary,married/living with partner,51 – 70k,blue,36,4255.00,0.406,no,0.156250485151867
711600033,no,40,female,3,third level,single,<30k,gold,36,10729.00,0.000,yes,0.913183341915776
711605208,yes,61,male,0,primary,married/living with partner,71 – 110k,blue,43,1438.30,0.000,yes,0.484917014704124
711606558,no,49,female,1,secondary,married/living with partner,<30k,blue,39,1909.00,0.454,no,0.0348107643641588
711607833,no,43,male,5,secondary,married/living with partner,51 – 70k,blue,36,2810.00,0.848,no,0.741942159446054
711608958,no,50,male,1,primary,married/living with partner,31 – 50k,blue,36,2071.00,0.500,no,0.21660619008143
711614658,no,37,female,2,primary,single,<30k,blue,30,2258.00,0.593,no,0.0249325074673887
711615933,no,43,male,3,third level,married/living with partner,71 – 110k,blue,33,28170.00,0.066,no,0.44749809746514
711619608,no,45,male,3,third level,married/living with partner,71 – 110k,blue,36,21630.00,0.000,yes,0.270637967652026
711625683,no,46,male,4,third level,married/living with partner,111k+,blue,36,3104.00,0.278,no,0.492583817232024
711626658,yes,62,female,1,secondary,single,<30k,blue,36,1930.00,0.000,yes,0.823504097034961
711627558,no,40,female,3,primary,single,<30k,blue,30,1625.00,0.561,no,0.210731702315828
711628458,no,45,female,3,third level,married/living with partner,<30k,blue,31,8829.00,0.102,no,0.46588743734556
711629733,no,45,female,2,third level,married/living with partner,<30k,blue,34,5371.00,0.279,no,0.0775503715363175
711631158,no,52,female,2,secondary,single,<30k,blue,42,1438.30,0.604,no,0.097301176261928
711634008,no,42,female,3,primary,married/living with partner,<30k,blue,36,5821.00,0.000,yes,0.0266529079337467
711635358,no,40,female,4,third level,single,<30k,blue,26,7291.00,0.345,no,0.140112679341963
711636558,no,33,male,3,third level,married/living with partner,71 – 110k,blue,36,2711.00,0.765,no,0.0669789001735602
711637458,yes,44,female,3,secondary,single,<30k,blue,36,2228.00,0.000,yes,0.489810457763826
711638658,no,33,male,4,secondary,single,31 – 50k,blue,25,8650.00,0.223,no,0.365285520228733
711639708,no,42,male,3,third level,single,51 – 70k,blue,32,1438.30,0.000,yes,0.925257399927189
711643458,no,50,female,1,primary,married/living with partner,<30k,blue,43,1438.30,0.000,yes,0.817020247494961
711644508,no,34,male,2,primary,single,71 – 110k,blue,36,12182.00,0.093,no,0.224524636956958
711647808,no,55,female,3,third level,single,<30k,blue,36,2069.00,0.497,no,0.132044848750276
711648708,no,44,male,3,third level,married/living with partner,71 – 110k,blue,36,25666.00,0.029,no,0.630694119447799
711654558,no,46,male,3,third level,#NULL!,51 – 70k,blue,36,2179.00,0.749,no,0.697107390701256
711655683,no,55,male,1,primary,single,51 – 70k,gold,46,25991.00,0.000,yes,0.110087944144811
711657783,no,50,female,2,third level,single,<30k,blue,41,1438.30,0.000,yes,0.266318605595761
711658758,no,46,female,3,primary,married/living with partner,<30k,blue,35,2069.00,0.532,no,0.398631957344368
711659958,no,65,female,0,third level,married/living with partner,31 – 50k,blue,56,2692.00,0.694,no,0.151151599344747
711668283,no,48,male,4,primary,married/living with partner,71 – 110k,blue,37,30948.00,0.078,no,0.21416124987646
711675108,no,43,female,3,third level,single,<30k,blue,30,4075.00,0.537,no,0.229584613943503
711676008,no,52,female,1,third level,single,<30k,blue,44,2019.00,0.491,no,0.998229412491138
711679533,no,54,male,2,third level,divorced,111k+,blue,43,5569.00,0.174,no,0.694084460517534
711684408,yes,50,female,0,third level,married/living with partner,<30k,blue,38,4935.00,0.319,no,0.567770738846521
711685758,no,60,female,1,third level,single,31 – 50k,blue,42,3334.00,0.345,no,0.801270856088251
711686658,no,48,male,5,secondary,married/living with partner,71 – 110k,gold,40,34516.00,0.041,no,0.0589609994579792
711688158,no,47,male,5,third level,single,111k+,blue,27,11760.00,0.196,no,0.827182130524727
711691608,yes,46,female,4,third level,single,<30k,blue,36,2881.00,0.850,no,0.653868285428358
711692508,yes,54,female,2,third level,married/living with partner,<30k,blue,47,1438.30,0.000,yes,0.606124059541793
711694083,no,59,female,0,third level,single,<30k,blue,48,3030.00,0.413,no,0.825639071735437
711697158,no,60,male,0,third level,married/living with partner,<30k,blue,36,1976.00,0.663,no,0.743072493492896
711699183,no,56,male,2,primary,divorced,51 – 70k,blue,50,7261.00,0.149,no,0.485187803478161
711700158,no,47,female,2,secondary,single,<30k,blue,39,1580.00,0.392,no,0.594692906657261
711701058,no,48,female,4,third level,married/living with partner,<30k,gold,36,10973.00,0.134,no,0.640817025175215
711706458,no,44,male,4,third level,married/living with partner,71 – 110k,blue,27,24134.00,0.053,no,0.0876649683447002
711709683,no,53,female,2,primary,married/living with partner,<30k,blue,36,3506.00,0.401,no,0.411508010295539
711711483,no,61,male,0,secondary,married/living with partner,71 – 110k,blue,50,2800.00,0.874,no,0.116250524051724
711712983,no,56,male,2,third level,single,71 – 110k,blue,46,15982.00,0.000,yes,0.791875801876643
711716133,yes,42,female,3,secondary,married/living with partner,31 – 50k,blue,34,1585.00,0.871,no,0.20330251194199
711717258,no,54,female,3,third level,single,31 – 50k,blue,39,4036.00,0.329,no,0.331814858892375
711722808,yes,51,female,4,third level,single,<30k,blue,44,1483.00,0.000,yes,0.0944962437493764
711727083,no,50,female,1,third level,single,31 – 50k,blue,36,2833.00,0.573,no,0.931289998874233
711728208,no,46,male,4,third level,single,111k+,blue,34,34516.00,0.000,yes,0.984913586039071
711733308,no,45,female,2,primary,single,<30k,blue,36,1839.00,0.000,yes,0.916312960220593
711734508,no,55,male,2,third level,married/living with partner,71 – 110k,blue,47,9959.00,0.121,no,0.382095723330272
711738333,no,34,male,2,third level,married/living with partner,71 – 110k,blue,23,7567.00,0.235,no,0.645631841769233
711741708,yes,41,male,3,third level,#NULL!,71 – 110k,blue,33,7591.00,0.000,yes,0.227202151905713
711742758,yes,43,female,5,third level,single,31 – 50k,blue,32,11508.00,0.000,yes,0.574664479798212
711743883,no,43,female,3,primary,single,<30k,blue,35,4026.00,0.000,yes,0.215235207210739
711748983,no,30,male,1,secondary,married/living with partner,51 – 70k,blue,17,7906.00,0.206,no,0.512914578749847
711750183,no,63,female,2,third level,single,<30k,blue,55,15987.00,0.084,no,0.658561248943667
711751533,no,47,female,4,third level,married/living with partner,<30k,blue,37,2447.00,0.806,no,0.61048042726606
711762408,no,43,male,2,third level,divorced,31 – 50k,blue,34,2243.00,0.000,yes,0.52874667669426
711768858,no,55,male,2,secondary,married/living with partner,71 – 110k,blue,36,6514.00,0.347,no,0.647476752224212
711772008,yes,35,female,3,third level,single,<30k,blue,22,1890.00,0.352,no,0.00665589603669881
711772983,no,43,male,2,secondary,single,51 – 70k,blue,35,1849.00,0.699,no,0.00722219977924143
711775383,no,63,male,1,third level,single,51 – 70k,blue,36,2466.00,0.000,yes,0.196406820391515
711776433,no,37,male,3,primary,single,71 – 110k,blue,26,23622.00,0.049,no,0.016323005186655
711777633,no,41,male,3,third level,divorced,51 – 70k,blue,27,5784.00,0.000,yes,0.592688693442559
711780108,no,46,female,4,third level,divorced,<30k,blue,38,4120.00,0.383,no,0.435360288172761
711782733,no,55,male,0,third level,married/living with partner,31 – 50k,blue,36,3097.00,0.267,no,0.383446913295687
711783483,no,55,female,3,third level,single,31 – 50k,blue,46,5162.00,0.191,no,0.526045922944413
711784908,no,46,female,4,secondary,single,<30k,blue,34,3322.00,0.758,no,0.26821958306205
711786108,no,52,male,1,third level,married/living with partner,51 – 70k,blue,43,7187.00,0.280,no,0.472302843624752
711787383,no,52,female,2,secondary,single,<30k,blue,40,1960.00,0.729,no,0.0639861502484871
711788583,no,61,female,1,third level,single,<30k,blue,36,3466.00,0.417,no,0.738083282456765
711791583,yes,52,female,1,third level,single,<30k,blue,40,2317.00,0.000,yes,0.246142142139304
711794358,yes,61,male,0,third level,single,71 – 110k,blue,50,21398.00,0.000,yes,0.887514930972187
711795633,no,65,male,0,third level,single,<30k,blue,52,3675.00,0.000,yes,0.479878699407452
711796683,no,50,female,2,third level,single,<30k,blue,38,7398.00,0.214,no,0.267531554714322
711799458,no,41,male,4,third level,single,31 – 50k,blue,36,6507.00,0.223,no,0.982506673199022
711800658,yes,42,female,3,secondary,single,<30k,blue,36,2145.00,0.000,yes,0.0228081670597999
711801933,yes,54,female,4,secondary,single,31 – 50k,blue,36,1438.30,0.000,yes,0.290261599106176
711802758,no,63,male,1,third level,married/living with partner,31 – 50k,blue,53,6128.00,0.309,no,0.150121925642337
711807333,no,37,female,2,third level,single,<30k,blue,26,1438.30,0.000,yes,0.921505007846561
711808383,no,50,male,3,third level,divorced,51 – 70k,blue,39,6362.00,0.269,no,0.460693131423841
711813258,no,56,male,2,third level,single,51 – 70k,blue,43,34516.00,0.059,no,0.636861205939439
711814608,no,41,female,5,secondary,married/living with partner,31 – 50k,gold,36,19281.00,0.094,no,0.481640212695743
711816108,yes,40,male,3,secondary,single,71 – 110k,blue,29,18563.00,0.000,yes,0.719848208577409
711817158,no,30,male,2,third level,divorced,31 – 50k,blue,22,3143.00,0.342,no,0.0468645390170369
711822933,no,55,female,2,third level,married/living with partner,31 – 50k,blue,45,2985.00,0.553,no,0.423725807814101
711824358,no,44,female,4,third level,single,<30k,blue,31,3228.00,0.000,yes,0.474474591183097
711825558,no,38,male,3,third level,married/living with partner,71 – 110k,blue,19,1518.00,0.735,no,0.996110353149926
711827958,no,57,male,2,primary,married/living with partner,51 – 70k,blue,47,5100.00,0.386,no,0.527273200036279
711830433,no,44,female,3,third level,single,<30k,blue,32,7926.00,0.133,no,0.465978492326529
711831558,no,49,male,4,third level,divorced,111k+,blue,41,7184.00,0.168,no,0.729072058432771
711832533,no,42,male,3,secondary,single,71 – 110k,gold,32,34516.00,0.040,no,0.61845008551728
711833508,no,47,male,2,secondary,single,31 – 50k,blue,27,1536.00,0.000,yes,0.926374687828432
711834708,no,55,male,4,third level,married/living with partner,71 – 110k,blue,40,4047.00,0.366,no,0.200938850933035
711835758,no,50,male,3,third level,married/living with partner,111k+,blue,42,34516.00,0.061,no,0.650060502041353
711836733,no,43,male,3,third level,single,111k+,blue,31,1438.30,0.000,yes,0.614303106573258
711838008,yes,37,male,3,third level,married/living with partner,51 – 70k,blue,28,6407.00,0.075,no,0.557448666860643
711840408,no,64,male,0,third level,married/living with partner,<30k,blue,55,2492.00,0.571,no,0.801521595779959
711843708,yes,61,female,0,third level,divorced,<30k,blue,36,2125.00,0.000,yes,0.401940529698347
711844758,no,48,male,3,third level,single,71 – 110k,blue,35,13551.00,0.095,no,0.999279532034852
711846183,yes,38,female,3,third level,single,31 – 50k,blue,26,2669.00,0.000,yes,0.503424471908101
711847833,no,42,female,2,third level,single,<30k,blue,32,1933.00,0.583,no,0.564539060042226
711848658,no,35,male,3,third level,married/living with partner,51 – 70k,blue,17,2259.00,0.786,no,0.771322597647729
711851583,no,50,male,2,third level,married/living with partner,111k+,blue,42,8220.00,0.123,no,0.414245136189969
711854808,yes,41,male,3,secondary,married/living with partner,111k+,blue,32,34516.00,0.000,yes,0.678318433371355
711856683,no,51,male,3,third level,married/living with partner,31 – 50k,blue,36,1590.00,0.801,no,0.319981140244576
711857733,no,49,male,3,primary,single,51 – 70k,blue,32,18584.00,0.135,no,0.868412673602891
711861258,no,65,female,1,primary,single,<30k,blue,36,4182.00,0.000,yes,0.674457341885932
711862533,yes,55,female,1,primary,married/living with partner,<30k,blue,36,2258.00,0.886,no,0.182385710545945
711864783,no,61,male,1,primary,single,51 – 70k,blue,46,2201.00,0.517,no,0.433252460829286
711866358,no,42,female,3,secondary,single,31 – 50k,blue,30,10136.00,0.000,yes,0.208726623010868
711870333,no,46,male,2,primary,divorced,71 – 110k,blue,36,34516.00,0.046,no,0.431347678870641
711871758,yes,30,female,1,third level,married/living with partner,<30k,blue,36,2905.00,0.866,no,0.668021507120442
711873858,no,43,male,3,secondary,married/living with partner,51 – 70k,blue,35,3717.00,0.506,no,0.856247495933907
711874833,no,45,male,3,third level,divorced,31 – 50k,blue,37,2449.00,0.000,yes,0.960950998399205
711876333,no,53,male,3,third level,married/living with partner,71 – 110k,blue,36,7290.00,0.295,no,0.883915502110062
711877458,no,51,female,3,third level,married/living with partner,<30k,blue,36,1936.00,0.000,yes,0.663259951267879
711878733,no,60,male,1,primary,married/living with partner,51 – 70k,blue,48,10264.00,0.202,no,0.567265883087879
711879633,no,45,male,3,secondary,single,<30k,blue,29,2766.00,0.718,no,0.194026091605439
711881733,no,55,female,1,third level,married/living with partner,<30k,blue,46,1606.00,0.000,yes,0.235849204008038
711883833,no,50,female,1,primary,single,<30k,blue,37,1837.00,0.362,no,0.822325205700046
711885258,no,47,female,4,secondary,married/living with partner,<30k,blue,31,7711.00,0.128,no,0.637511214826527
711890808,no,42,female,3,third level,married/living with partner,<30k,blue,36,2526.00,0.811,no,0.896503605344165
711891933,no,47,male,3,secondary,married/living with partner,71 – 110k,blue,40,12945.00,0.122,no,0.668565872139952
711893358,no,46,male,5,secondary,married/living with partner,31 – 50k,blue,37,2375.00,0.504,no,0.641556313678151
711902058,no,35,male,2,third level,married/living with partner,51 – 70k,blue,36,1438.30,0.000,yes,0.813315027627696
711904008,yes,40,male,4,secondary,married/living with partner,51 – 70k,blue,36,5869.00,0.000,yes,0.685703197311991
711913833,no,37,male,3,third level,married/living with partner,31 – 50k,blue,36,8818.00,0.163,no,0.512845690144534
711919608,yes,42,female,3,third level,married/living with partner,<30k,blue,36,2031.00,0.847,no,0.461857439651168
711922158,no,57,female,2,third level,married/living with partner,<30k,blue,45,1860.00,0.000,yes,0.175824092106044
711925608,no,42,male,4,third level,divorced,71 – 110k,blue,35,18274.00,0.089,no,0.609967076763507
711927108,yes,54,male,3,secondary,married/living with partner,71 – 110k,blue,36,9457.00,0.037,no,0.421627225289503
711934308,no,38,male,3,third level,single,31 – 50k,blue,19,1705.00,0.000,yes,0.0114197722482476
711935283,yes,55,male,5,third level,single,71 – 110k,blue,47,1438.30,0.000,yes,0.444910539301839
711937158,no,49,male,3,third level,married/living with partner,51 – 70k,blue,39,2501.00,0.000,yes,0.788821310696369
711942783,no,41,female,3,secondary,married/living with partner,<30k,blue,28,2354.00,0.811,no,0.253741175993877
711944733,no,45,female,2,secondary,married/living with partner,<30k,blue,36,1457.00,0.568,no,0.782221602838445
711947358,no,49,male,4,primary,married/living with partner,111k+,blue,38,18991.00,0.064,no,0.584873766063505
